description.year_built,description.sold_price,description.baths,description.garage,description.stories,description.beds,num_days,central_air,dishwasher,fireplace,basement,price_per_sqft,median_value_per_sqft,description.type_encoded,city_encoded
1965,285000,2,1,2,4,47,0,1,0,1,163,0,1,18
1982,284900,3,1,2,3,34,1,1,1,0,158,1,2,62
1994,284500,2,1,1,4,48,1,1,1,0,133,2,1,43
2005,214000,2,2,1,3,65,1,1,1,0,127,1,1,61
1951,441000,1,1,1,2,36,1,1,1,0,360,1,1,54
2001,260000,2,1,1,4,46,1,1,1,0,137,2,1,43
2011,445000,2,2,1,3,35,1,1,0,0,207,1,1,63
1955,65000,2,1,1,3,195,1,0,0,0,45,0,1,43
1942,135000,1,1,1,2,37,0,1,0,1,125,0,1,32
1944,110000,1,1,1,2,57,1,1,0,1,132,0,1,32
2016,540000,2,2,1,3,22,0,1,0,0,345,2,1,49
1978,165000,2,1,1,3,137,0,0,0,0,114,1,1,22
1967,399000,3,1,2,4,63,1,1,1,1,202,0,1,53
1978,619000,3,3,2,3,119,0,1,1,0,247,3,1,49
1995,425000,2,2,1,4,47,1,1,1,0,224,0,1,62
1981,380000,3,1,3,4,103,1,1,1,1,230,0,2,3
2000,250000,2,1,2,4,51,0,1,0,0,154,0,1,22
1930,340000,2,1,2,3,74,0,0,0,1,139,1,1,52
1950,253000,1,3,1,3,91,1,0,1,1,186,0,1,17
2000,180000,2,1,1,3,59,1,1,1,0,168,0,1,12
2015,364500,3,2,1,3,52,1,0,1,1,158,0,2,34
1900,160000,1,1,1,2,78,1,0,0,1,185,0,1,34
1948,266900,2,1,1,3,54,1,1,1,0,163,0,1,28
1920,102000,2,1,2,3,61,0,0,1,0,75,0,1,54
2004,762000,3,1,2,5,65,1,0,1,1,292,0,2,55
2018,750000,4,3,2,4,63,1,0,1,0,274,1,1,53
2021,227500,2,1,1,2,-1,1,1,0,0,169,1,1,21
1882,60000,1,1,1,2,114,0,0,0,1,87,0,1,57
1953,265000,2,1,1,3,57,0,0,1,1,123,1,1,52
1930,374000,2,1,1,3,60,0,0,1,1,262,2,1,58
1927,221500,1,1,1,2,60,0,1,0,1,256,1,1,57
1998,415000,4,3,2,3,95,1,1,1,1,122,1,1,34
1970,255000,2,2,2,3,39,0,0,1,0,170,1,1,36
1925,425000,3,1,1,5,56,0,1,1,1,116,1,1,29
1969,145000,2,1,1,3,28,1,1,0,0,70,0,1,43
2016,460000,3,2,2,3,53,1,1,1,1,229,3,1,66
1920,400000,1,1,1,3,69,0,0,0,1,380,0,1,8
1988,520000,2,2,1,4,43,1,1,1,0,201,1,1,62
1958,237000,2,1,1,3,50,1,0,0,1,115,0,1,28
1995,362000,3,3,1,4,63,1,1,1,0,142,0,1,20
1887,127000,1,1,2,2,115,0,0,0,1,126,1,2,64
1975,430000,2,1,3,4,64,1,1,1,1,231,0,1,3
1992,236500,2,2,1,3,84,0,0,1,0,147,1,1,36
1960,232000,1,1,2,2,113,1,1,0,0,204,1,0,7
2006,388000,3,2,2,4,51,0,0,1,1,151,1,1,36
1828,260000,1,1,3,1,53,0,0,0,0,625,0,0,52
1951,203000,2,2,1,3,57,1,0,0,1,115,1,1,57
1966,59400,2,1,1,3,69,0,0,0,1,42,0,1,11
1930,283000,3,1,3,5,85,0,0,0,1,128,0,1,18
1997,437000,3,2,2,3,33,1,1,1,0,212,1,1,53
2019,343000,1,1,2,1,230,0,0,0,0,547,1,0,56
1961,265000,2,1,1,3,-7,1,1,0,0,167,0,1,12
1965,271000,2,1,1,3,50,1,1,0,1,271,0,1,0
1999,215000,2,1,1,2,66,1,0,0,1,123,0,1,34
1910,610000,1,1,1,2,128,0,1,0,1,948,3,0,8
1984,200000,3,3,2,2,19,1,1,0,0,184,1,2,62
1985,380000,3,2,2,4,111,1,1,1,1,194,0,1,19
1917,239000,1,1,1,2,81,0,0,0,1,229,1,1,57
2005,385000,3,2,2,4,65,1,1,0,1,194,0,1,39
1973,415000,2,2,1,3,145,0,0,1,0,208,4,1,50
1992,667500,3,6,2,3,106,1,1,1,0,219,3,1,49
1968,136000,2,2,1,3,61,1,0,0,0,77,0,1,43
2021,585000,3,2,2,4,104,1,1,1,1,211,0,1,18
1966,125000,2,1,1,3,32,0,0,0,1,47,0,1,22
2017,465000,4,2,2,3,76,1,1,0,1,210,3,1,66
1921,172900,1,1,1,2,59,1,1,0,1,195,0,1,17
2014,261900,2,2,1,3,38,1,0,0,0,146,1,1,47
1996,625600,3,2,1,4,32,0,0,0,0,292,1,1,50
1980,435000,4,2,2,4,77,1,1,1,1,127,0,1,34
1986,147000,2,1,1,3,77,1,0,0,0,89,0,1,43
1951,290000,3,2,1,3,44,0,0,1,1,92,1,1,29
1972,292000,3,2,2,4,79,1,1,1,1,145,0,1,13
1989,178000,1,1,1,2,44,1,1,1,0,169,0,0,0
1923,232000,2,1,2,3,96,0,1,0,1,133,0,1,28
1910,910000,1,1,1,2,105,1,1,0,1,1034,5,0,8
2014,641450,3,2,2,5,92,0,1,1,0,197,0,1,53
1972,320000,2,1,2,2,168,1,1,0,0,232,1,0,54
1953,985000,2,1,2,4,27,1,1,1,1,533,1,1,3
1981,466000,1,1,1,2,49,1,1,1,1,431,3,0,16
2002,435000,3,2,1,4,36,1,1,1,1,181,0,1,39
1954,109000,1,1,1,2,50,0,0,0,1,151,0,1,17
1956,395000,2,2,1,3,48,0,0,1,0,290,2,1,58
2004,405000,3,1,2,5,103,1,0,1,0,131,0,1,18
2021,455000,3,2,2,3,69,1,1,0,1,283,3,1,66
2002,575000,3,2,2,4,113,1,0,1,0,257,1,1,56
1990,395000,3,1,2,2,57,1,0,1,0,342,1,1,7
1947,405000,2,1,2,3,91,1,1,0,1,310,3,1,39
1954,99100,1,1,1,2,44,1,1,0,0,102,0,1,12
1966,191500,2,1,2,3,113,0,0,0,1,142,0,1,0
1966,159900,2,1,1,3,89,0,0,0,0,91,0,1,36
1993,421000,4,2,1,3,94,1,0,1,1,171,2,1,31
1994,241500,3,1,2,3,40,1,0,0,0,150,0,2,28
2000,519000,2,2,1,2,70,1,1,1,1,228,3,1,37
2007,220000,2,2,1,3,87,1,0,1,0,151,1,1,31
2001,335500,2,2,1,3,-1,0,0,0,0,190,0,1,9
2001,750000,3,3,2,4,113,1,0,0,0,418,2,1,58
1979,197000,2,1,2,3,98,1,1,1,1,102,0,1,32
2001,350000,2,2,1,3,36,1,1,1,0,212,1,2,62
2008,220000,2,2,1,2,62,0,0,0,0,148,2,0,22
1968,68250,2,1,1,3,99,1,0,0,0,26,0,1,43
1951,225000,1,1,1,2,107,1,0,1,1,173,0,1,28
1908,224325,2,2,1,3,35,0,1,1,1,134,1,1,57
1974,450000,2,3,2,4,50,0,1,1,0,284,0,1,49
2001,200000,1,1,2,3,174,0,0,0,1,154,0,2,64
2008,185000,2,2,1,3,30,1,1,0,0,168,1,1,51
